text	label
it has that rare quality of being able to creep the living hell out of you . . . 	1
an ancient tablet found by famous british archaeologist professor hyde-white is believed to be a roadmap to the legendary lost temple of faramundi and its hidden treasures . 	0
a big meal of cliches that the talented cast generally chokes on . 	1
this idea has lost its originality . . . and neither star appears very excited at rehashing what was basically a one-joke picture . 	1
the jew ( shylock ) has a long memory of oppression , but revenge is not so sweet . 	0
evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes . 	1
director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention . 	1
the real draw , though , is the performance by dunst that is , alone , worth the price of admission . 	1
a keep-'em-guessing plot and an affectionate take on its screwed-up characters . 	1
in this action-comedy , four twenty-something friends are looking for love and having no luck . 	0
the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy . 	1
rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle	1
there's only one catch : martin , her ex-husband , still hasn't moved out of the place . 	0
bartleby is a one-joke movie , and a bad joke at that . 	1
will he become a grandfather , surrounded by the love and support of a family or will he retreat into his world of memories and lost opportunities ? 	0
in prospect bay , a remote outpost on the south australian coast , two communities , the goonyas ( whites ) and the nungas ( blacks ) , come together on the one field they have in common , the football field . 	0
together [time out and human resources] establish mr . cantet as france's foremost cinematic poet of the workplace . 	1
viewers will need all the luck they can muster just figuring out who's who in this pretentious mess . 	1
tragedy strikes , and eve learns her childhood friend arman is killed in armenia , transforming her dreams to nightmares . 	0
even through its flaws , revolution #9 proves to be a compelling , interestingly told film . 	1
the new guy does have a heart . now , if it only had a brain . 	1
mckay's camera follows him from his detailed make-up at home , into a waiting yellow cab and down to a chelsea nightclub dressing room for finishing dressing and wig before he goes on to win over a standing room only audience . 	0
an action comedy prequel to spang olsen's box office hit in china they eat dogs . 	0
many have no physical sex lives , living instead in a world of romance with stars like james dean or audrey hepburn . 	0
this seventh feature by chicago director covert uses the freedom of access afforded by the digital camera to emphasize the visceral quality of the story . 	0
"as he struggles for his humanity , he fights his oppressors and is quickly sent to "" the shu "" where his unbridled rage catapults him to the victor's circle . "	0
fans of the tv series will be disappointed , and everyone else will be slightly bored . 	1
jonah was kind of like a mailman except his messages came straight from god . 	0
one ( logue ) does it for the love of comics , while the other shop , run by a husband-and-wife team ( rapaport and lyonne ) are in it strictly for the money . 	0
reinalda fell hopelessly in love with her long red hair and big good-goods during her days as a french panto teacher and now she will stop at nothing , including the highest office in the land , to be with her always . 	0
a sweet-natured reconsideration of one of san francisco's most vital , if least widely recognized , creative fountainheads . 	1
an efficient , exceedingly likable family film about orphans and sports that comes with equal doses of sentimentality , corny jokes and life lessons . 	1
phileine is a super-bitch traveling to new york to visit her boyfriend maxto say sorry , for the first time in her life , for the argument the two of them were having before he left . 	0
the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot . 	1
i admired it , particularly that unexpected downer of an ending . 	1
by occasion , the family plays a bizarre game : when someone rings a bell , everyone has to undress as quikly as possible , dive in the swimming pool , and grab the wooden fish in the pool . 	0
a charming trifle . . . a welcome return to jocular form . 	1
[demme] creates a film that is both traditional , in keeping with its source material , and new millennium hip . 	1
once again , the case seems to be solved with this spectacular arrest . 	0
in a summer overrun with movies dominated by cgi aliens and super heroes , it revigorates the mind to see a feature that concentrates on people , a project in which the script and characters hold sway . 	1
it's an often-cute film but either needs more substance to fill the time or some judicious editing . 	1
 . . . hopefully it'll be at the dollar theatres by the time christmas rolls around . wait to see it then . 	1
bettien decided to cooperate with the police and because of her testimonies , many precious arrests were made . 	0
but melanie's past holds many secrets , including jake , the redneck husband she married in high school , who refuses to divorce her . 	0
aside from stumbling over some clunky visual metaphors guzm�n does a decent job of telling a story many outside chile simply don't know . 	1
the women clash as plans go awry , tragedy strikes , and hearts get broken . 	0
skillfully weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . 	1
moving to the big city , deeds finds himself besieged by opportunists all gunning for their piece of the pie . 	0
in this bittersweet slice of working class single new jersey life , best friends debby and beth ( both pushing thirty ) go looking for love in the wrong place - namely their favorite bar , oliver's . 	0
while its careful pace and seemingly opaque story may not satisfy every moviegoer's appetite , the film's final scene is soaringly , transparently moving . 	1
this results in more deaths , until the ultimate realization that your thoughts and actions are more important than the color of your skin . 	0
you may feel compelled to watch the film twice or pick up a book on the subject . 	1
following the gruesome murder of a young woman in her neighborhood , a self-determined woman living in new york city--as if to test the limits of her own safety--propels herself into an impossibly risky sexual liaison . 	0
its story is delicate and moving , and the film is a wholly commendable effort , if not quite as successful as majidi's previous works . 	1
he arrives in the small welsh town , unsettling the life of his ex-lover ( redgrave ) while inspiring his newfound daughter to follow in his footsteps with a musical career of her own , against the wishes of her mother . 	0
when he does this , he finds out that freddy is killing th kids of crystal lake in they're dreams ! 	0
set during the cull of the stray dogs in the city of bucharest , the wild dogs weaves together a week in the lives of several citizens of and visitors to the hauntingly beautiful city . 	0
a very funny look at how another culture handles the process of courting and marriage . 	1
one well-timed explosion in a movie can be a knockout , but a hundred of them can be numbing . proof of this is ballistic : ecks vs . sever . 	1
filmed in a california maximum security prison , the series is a look into the world of street and prison gangs , which ask is there a way out for these men who have dedicated their lives to gangs . 	0
when in their thirties , they lose their father and inherit his second-hand bookshop . 	0
not even steven spielberg has dreamed up such blatant and sickening product placement in a movie . 	1
velma is aloof to roxie , however the prison warden mrs morton offers roxie the opportunity of representation by slick chicago lawyer billy flynn . 	0
"his surrounding is a peaceful dreamplace called "" shangri-la "" . "	0
"despite the long running time , the pace never feels slack -- there's no scene that screams "" bathroom break ! "" "	1
klaus is an actor and lives a life between attack and escape from love and desperation . 	0
the book records the entire history of the universe , revealing to its readers anything they wish to know . 	0
this temporary city is the 6th largest in nevada . 	0
hey arnold ! the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ain't pretty . 	1
too infuriatingly quirky and taken with its own style . 	1
awaking , he meets manny , a mammoth who travels to the north , and decides to follow him . 	0
one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . 	1
the pink house is a fast-paced , youthful comedy that has been called a sweeter , more intellectual animal house . 	0
it will make you think twice about what might be going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster . 	1
long before it's over , you'll be thinking of 51 ways to leave this loser . 	1
a tired , unnecessary retread . . . a stale copy of a picture that wasn't all that great to begin with . 	1
it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense . 	1
when the three precogs , who only work together , floating connected in a tank of fluid , have a vision , the names of the victim and the perpetrator as well as video imagery of the crime and the exact time it will happen , are given out to the special cops who then try to prevent the crime from happening . 	0
and the conclusion of the story is how the four attempt to pull off their master plan , this well-thought-out bank robbery . 	0
the tragic real life story of a serial killer who stalked his victims in the early 1970's in small town america . 	0
funny in a sick , twisted sort of way . 	1
it somehow managed to make its way past my crappola radar and find a small place in my heart	1
she travels to various locations of jack's performances , accompanying him afterwards to his bench . 	0
nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions . 	1
set in a 1986 harlem that doesn't look much like anywhere in new york . 	1
on the road to lake tahoe , a stressed out young executive meets a woman who forever changes his life . 	0
branagh , in his most forceful non-shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit . 	1
the daughter mary yearns for a home where the books don't always get sold . 	0
smart science fiction for grown-ups , with only a few false steps along the way . 	1
the ingenuity that parker displays in freshening the play is almost in a class with that of wilde himself . 	1
it's pithy without being saccharine ; it's funny without ever not taking itself seriously ; it's full of beautiful characters and great performances . 	1
all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility . 	1
if . . . you're the adventurous sort , check it out . 	1
he's made a mistake and he's trying to pay for it but he doesn't know if there is enough money in the world . 	0
irish eyes are crying explores the relationship between two irish-american brothers in boston born to immigrant parents and raised in a rough , working class irish neighborhood . 	0
at the end of the second world war , 38 year-old career soldier gian singh resigns his commission with the british indian army and returns to his childhood village , near the border with pakistan . 	0
an epic journey across an unforgiving landscape that will test their very will to survive . 	0
gangster no . 1 is solid , satisfying fare for adults . 	1
